fqdn,dns_public,dns_a_records,http_via_dns,http_via_cluster_host,categorie_audit,situation,action_recommandee
a.airlines-usa.click,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
a.keywy.com,oui (hors IP OVH),"104.21.39.96, 172.67.144.9, 2606:4700:3032::ac43:9009, 2606:4700:3037::6815:2760",403,200,off_ovh_hosting,"DNS ailleurs (104.21.39.96, 172.67.144.9, 2606:4700:3032::ac43:9009, 2606:…) ; fichiers encore sur cluster OVH",Detacher du multisite OVH (trafic ne passe pas par OVH)
a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
aa.airlines-usa.click,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
aa.airlines.city,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
aca.airlines-usa.click,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
aeromexico.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
aircanada.airlines.city,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
airlines-usa.agency,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
airlines-usa.chat,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
airlines-usa.click,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
airlines-usa.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
airlines-usa.info,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
airlines-usa.site,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
airlines.change-flights.to,oui (hors IP OVH),"13.248.169.48, 76.223.54.146",200,200,off_ovh_hosting,"DNS ailleurs (13.248.169.48, 76.223.54.146…) ; fichiers encore sur cluster OVH",Detacher du multisite OVH (trafic ne passe pas par OVH)
airlines.city,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
airlines.company,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
alaska.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
alaska.airlines-phone-directory.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
alaska.airlines.city,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
allegiant.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
american.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
american.airlines-phone-directory.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
american.airlines.city,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
arasaka-sarl.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
asa.airlines-usa.click,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
askaflorist.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
ava.airlines-usa.click,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
avianca.airlines-phone-directory.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
avianca.airlines.city,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
avlanca.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
boarding.airlines-usa.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
booking.airlines-usa.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
canada.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
canada.airlines-phone-directory.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
canada.airlines.city,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
change-flights.to,oui (hors IP OVH),"13.248.169.48, 76.223.54.146",200,200,off_ovh_hosting,"DNS ailleurs (13.248.169.48, 76.223.54.146…) ; fichiers encore sur cluster OVH",Detacher du multisite OVH (trafic ne passe pas par OVH)
confirmation.airlines-usa.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
copa.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
copa.airlines-phone-directory.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
copa.airlines.city,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
dal.airlines-usa.click,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
delta.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
delta.airlines-phone-directory.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
delta.airlines-usa.agency,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
delta.airlines-usa.click,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
delta.airlines-usa.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
delta.airlines.city,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
depannageserruriermarseille.fr,oui (hors IP OVH),"104.21.63.223, 172.67.172.88, 2606:4700:3032::6815:3fdf, 2606:4700:3033::ac43:ac58",200,200,off_ovh_hosting,"DNS ailleurs (104.21.63.223, 172.67.172.88, 2606:4700:3032::6815:3fdf, 260…) ; fichiers encore sur cluster OVH",Detacher du multisite OVH (trafic ne passe pas par OVH)
destination.airlines-usa.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
dishwasher.phoenix-az.repair,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
dishwasher.same-day.repair,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
dl.keywy.com,oui (hors IP OVH),"104.21.39.96, 172.67.144.9, 2606:4700:3032::ac43:9009, 2606:4700:3037::6815:2760",403,200,off_ovh_hosting,"DNS ailleurs (104.21.39.96, 172.67.144.9, 2606:4700:3032::ac43:9009, 2606:…) ; fichiers encore sur cluster OVH",Detacher du multisite OVH (trafic ne passe pas par OVH)
dryer.phoenix-az.repair,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
dryer.same-day.repair,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
e-ticket.airlines-usa.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
exterminator.same-day.pro,oui (hors IP OVH),"172.234.24.211, 172.239.57.117",,200,off_ovh_hosting,"DNS ailleurs (172.234.24.211, 172.239.57.117…) ; fichiers encore sur cluster OVH",Detacher du multisite OVH (trafic ne passe pas par OVH)
fare.airlines-usa.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
fft.airlines-usa.click,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
flights.airlines-usa.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
flights.airlines.city,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
fly.airlines-usa.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
frontier.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
georgesappliancesrepair.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
hawaiian.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
hvac-sys.com,oui (hors IP OVH),"172.234.24.211, 172.239.57.117",,200,off_ovh_hosting,"DNS ailleurs (172.234.24.211, 172.239.57.117…) ; fichiers encore sur cluster OVH",Detacher du multisite OVH (trafic ne passe pas par OVH)
interjet.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
jetbiue.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
jetblue.airlines-phone-directory.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
jetblue.airlines.city,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
jmelectrician.com,oui (hors IP OVH),"13.248.243.5, 76.223.105.230",200,200,off_ovh_hosting,"DNS ailleurs (13.248.243.5, 76.223.105.230…) ; fichiers encore sur cluster OVH",Detacher du multisite OVH (trafic ne passe pas par OVH)
keywy.com,oui (hors IP OVH),"104.21.39.96, 172.67.144.9, 2606:4700:3032::ac43:9009, 2606:4700:3037::6815:2760",403,403,off_ovh_hosting,DNS ailleurs ; cluster HTTP 403,Detacher du multisite OVH (recommandé)
nks.airlines-usa.click,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
pestwipe.com,oui (hors IP OVH),"147.93.17.108, 2a02:4780:11:1933:0:13b0:a100:9",200,200,off_ovh_hosting,"DNS ailleurs (147.93.17.108, 2a02:4780:11:1933:0:13b0:a100:9…) ; fichiers encore sur cluster OVH",Detacher du multisite OVH (trafic ne passe pas par OVH)
phoenix-az.repair,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
prestashop.arasaka-sarl.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
refrigerator.phoenix-az.repair,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
refrigerator.same-day.repair,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
reservation.airlines-usa.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
same-day.pro,oui (hors IP OVH),"172.234.24.211, 172.239.57.117",,200,off_ovh_hosting,"DNS ailleurs (172.234.24.211, 172.239.57.117…) ; fichiers encore sur cluster OVH",Detacher du multisite OVH (trafic ne passe pas par OVH)
same-day.repair,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
schedule.airlines-usa.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
serrurierfabre.fr,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
southwest.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
southwest.airlines-phone-directory.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
southwest.airlines.city,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
spirit.a2zflights.online,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
spirit.airlines-phone-directory.com,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
spirit.airlines.city,non,,,500,dns_none,Pas de DNS public ; cluster HTTP 500,Revue humaine
